feature_set,features,particles,model_artifact,fold_factor,design,pipeline_status,error_type,error_message,stair_lut,stair_ff,stair_dsp,stair_bram,latency_cycles,ii,throughput_samples_per_sec,max_resource_utilisation,work_cost,work_to_area_ratio,correctness_passed,checked_output_count,mismatched_elements,reference_output_widths,scheduled_output_widths,fold_group_count,lanes,max_temporal_steps
3-feature,3,8,official_models/3-feature-perminv/jet_classifier_large_8/models/epoch=1087-acc=66.97%-val_acc=66.60%-EBOPs=170586.keras,1,Spatial baseline,ok,,,130150.0,66206.0,0.0,0.0,54,1,300000000.0,0.018518518518518517,130150.0,1.0,True,5,0,"[18, 3, -17, 4, 1]","[18, 3, -17, 4, 1]",1,8,1
3-feature,3,8,official_models/3-feature-perminv/jet_classifier_large_8/models/epoch=1087-acc=66.97%-val_acc=66.60%-EBOPs=170586.keras,2,Folded-2,ok,,,87921.0,40805.0,0.0,0.0,54,2,150000000.0,0.037037037037037035,128833.0,1.4653268274928628,True,5,0,"[18, 3, -17, 4, 1]","[18, 3, -17, 4, 1]",1,4,2
3-feature,3,8,official_models/3-feature-perminv/jet_classifier_large_8/models/epoch=1087-acc=66.97%-val_acc=66.60%-EBOPs=170586.keras,4,Folded-4,ok,,,66951.0,27998.0,0.0,0.0,56,4,75000000.0,0.07142857142857142,126777.0,1.8935788860509926,True,5,0,"[18, 3, -17, 4, 1]","[18, 3, -17, 4, 1]",1,2,4
3-feature,3,8,official_models/3-feature-perminv/jet_classifier_large_8/models/epoch=1087-acc=66.97%-val_acc=66.60%-EBOPs=170586.keras,8,Folded-8,ok,,,56470.0,21448.0,0.0,0.0,64,8,37500000.0,0.125,122697.0,2.1727820081459184,True,5,0,"[18, 3, -17, 4, 1]","[18, 3, -17, 4, 1]",1,1,8
3-feature,3,8,official_models/3-feature-perminv/jet_classifier_large_8/models/epoch=1087-acc=66.97%-val_acc=66.60%-EBOPs=170586.keras,16,Folded-16,ok,,,56470.0,21448.0,0.0,0.0,64,8,37500000.0,0.125,122697.0,2.1727820081459184,True,5,0,"[18, 3, -17, 4, 1]","[18, 3, -17, 4, 1]",1,1,8
3-feature,3,16,official_models/3-feature-perminv/jet_classifier_large_16/models/epoch=1640-acc=73.62%-val_acc=73.49%-EBOPs=171253.keras,1,Spatial baseline,ok,,,129494.0,80931.0,0.0,0.0,51,1,300000000.0,0.0196078431372549,129494.0,1.0,True,5,0,"[21, 5, -18, 2, 3]","[21, 5, -18, 2, 3]",1,16,1
3-feature,3,16,official_models/3-feature-perminv/jet_classifier_large_16/models/epoch=1640-acc=73.62%-val_acc=73.49%-EBOPs=171253.keras,2,Folded-2,ok,,,81887.0,47564.0,0.0,0.0,51,2,150000000.0,0.0392156862745098,128616.0,1.5706522402823404,True,5,0,"[21, 5, -18, 2, 3]","[21, 5, -18, 2, 3]",1,8,2
3-feature,3,16,official_models/3-feature-perminv/jet_classifier_large_16/models/epoch=1640-acc=73.62%-val_acc=73.49%-EBOPs=171253.keras,4,Folded-4,ok,,,58066.0,30630.0,0.0,0.0,53,4,75000000.0,0.07547169811320754,126790.0,2.183549753728516,True,5,0,"[21, 5, -18, 2, 3]","[21, 5, -18, 2, 3]",1,4,4
3-feature,3,16,official_models/3-feature-perminv/jet_classifier_large_16/models/epoch=1640-acc=73.62%-val_acc=73.49%-EBOPs=171253.keras,8,Folded-8,ok,,,46195.0,22097.0,0.0,0.0,59,8,37500000.0,0.13559322033898305,123454.0,2.6724537287585237,True,5,0,"[21, 5, -18, 2, 3]","[21, 5, -18, 2, 3]",1,2,8
3-feature,3,16,official_models/3-feature-perminv/jet_classifier_large_16/models/epoch=1640-acc=73.62%-val_acc=73.49%-EBOPs=171253.keras,16,Folded-16,ok,,,40325.0,17765.0,0.0,0.0,75,16,18750000.0,0.21333333333333335,117830.0,2.922008679479231,True,5,0,"[21, 5, -18, 2, 3]","[21, 5, -18, 2, 3]",1,1,16
3-feature,3,32,official_models/3-feature-perminv/jet_classifier_large_32/models/epoch=1390-acc=79.13%-val_acc=78.92%-EBOPs=176950.keras,1,Spatial baseline,ok,,,127758.0,78161.0,0.0,0.0,53,1,300000000.0,0.018867924528301886,127758.0,1.0,True,5,0,"[10, 4, -19, 5, 6]","[10, 4, -19, 5, 6]",1,32,1
3-feature,3,32,official_models/3-feature-perminv/jet_classifier_large_32/models/epoch=1390-acc=79.13%-val_acc=78.92%-EBOPs=176950.keras,2,Folded-2,ok,,,77025.0,44400.0,0.0,0.0,53,2,150000000.0,0.03773584905660377,126341.0,1.6402596559558584,True,5,0,"[10, 4, -19, 5, 6]","[10, 4, -19, 5, 6]",1,16,2
3-feature,3,32,official_models/3-feature-perminv/jet_classifier_large_32/models/epoch=1390-acc=79.13%-val_acc=78.92%-EBOPs=176950.keras,4,Folded-4,ok,,,52173.0,27979.0,0.0,0.0,55,4,75000000.0,0.07272727272727272,125565.0,2.4067046173308033,True,5,0,"[10, 4, -19, 5, 6]","[10, 4, -19, 5, 6]",1,8,4
3-feature,3,32,official_models/3-feature-perminv/jet_classifier_large_32/models/epoch=1390-acc=79.13%-val_acc=78.92%-EBOPs=176950.keras,8,Folded-8,ok,,,39747.0,19715.0,0.0,0.0,61,8,37500000.0,0.13114754098360656,124013.0,3.120059375550356,True,5,0,"[10, 4, -19, 5, 6]","[10, 4, -19, 5, 6]",1,4,8
3-feature,3,32,official_models/3-feature-perminv/jet_classifier_large_32/models/epoch=1390-acc=79.13%-val_acc=78.92%-EBOPs=176950.keras,16,Folded-16,ok,,,33548.0,15541.0,0.0,0.0,75,16,18750000.0,0.21333333333333335,121133.0,3.6107368546560155,True,5,0,"[10, 4, -19, 5, 6]","[10, 4, -19, 5, 6]",1,2,16
3-feature,3,64,official_models/3-feature-perminv/jet_classifier_large_64/models/epoch=1294-acc=81.65%-val_acc=81.64%-EBOPs=226791.keras,1,Spatial baseline,ok,,,162885.0,114454.0,0.0,0.0,55,1,300000000.0,0.01818181818181818,162885.0,1.0,True,5,0,"[13, 7, -18, 5, -4]","[13, 7, -18, 5, -4]",1,64,1
