achieved_period_ns,bram18,bram36,clock_port,design_name,dsp,ebops,epoch,estimated_fmax_mhz,ff,implementation,lines_written,lut,model,out_dir,parallelism,part,part_requested,rtl_dir,status,target_period_ns,ths_ns,tns_ns,top,top_requested,total_bitwidth,train_acc_pct,uram,val_acc_pct,whs_ns,wns_ns,latency_cycles,latency_ns
1.205,0,0,clk,deepset_N16_e890_ebops146212_P_1_BW_11603,0,146212,890,829.8755186721992,867,arrc,51.0,17762,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_1_BW_11603_1/results,1.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_1_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,3.795,18.0,21.69
1.61,0,0,clk,deepset_N16_e890_ebops146212_P_2_BW_11603,0,146212,890,621.1180124223603,1151,arrc,51.0,23914,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_2_BW_11603_1/results,2.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_2_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,3.39,10.0,16.099999999999998
1.81,0,0,clk,deepset_N16_e890_ebops146212_P_3_BW_11603,0,146212,890,552.4861878453039,1435,arrc,51.0,30189,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_3_BW_11603_1/results,3.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_3_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,3.19,8.0,14.48
2.119,0,0,clk,deepset_N16_e890_ebops146212_P_4_BW_11603,0,146212,890,471.9207173194903,1720,arrc,51.0,36524,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_4_BW_11603_1/results,4.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_4_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,2.881,6.0,12.714
2.39,0,0,clk,deepset_N16_e890_ebops146212_P_5_BW_11603,0,146212,890,418.41004184100416,2005,arrc,51.0,42733,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_5_BW_11603_1/results,5.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_5_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,2.61,6.0,14.340000000000002
2.124,0,0,clk,deepset_N16_e890_ebops146212_P_6_BW_11603,0,146212,890,470.8097928436911,2297,arrc,51.0,48995,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_6_BW_11603_1/results,6.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_6_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.052,2.876,5.0,10.62
2.395,0,0,clk,deepset_N16_e890_ebops146212_P_7_BW_11603,0,146212,890,417.5365344467641,2574,arrc,51.0,55194,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_7_BW_11603_1/results,7.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_7_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,2.605,5.0,11.975
2.495,0,0,clk,deepset_N16_e890_ebops146212_P_8_BW_11603,0,146212,890,400.8016032064128,2859,arrc,51.0,61177,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_8_BW_11603_1/results,8.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_8_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,2.505,4.0,9.98
2.471,0,0,clk,deepset_N16_e890_ebops146212_P_9_BW_11603,0,146212,890,404.6944556859571,3144,arrc,51.0,68095,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_9_BW_11603_1/results,9.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_9_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.051,2.529,4.0,9.884
2.718,0,0,clk,deepset_N16_e890_ebops146212_P_10_BW_11603,0,146212,890,367.9175864606328,3429,arrc,51.0,74133,deepset_N16_e890_ebops146212,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_10_BW_11603_1/results,10.0,xcvu9p-flgb2104-2-i,xcvu9p-flgb2104-2-i,/mnt/ccnas2/bdp/bm920/da4ml/arrc/experiments/synthesis_results/deepset_from_checkpoints_flexi_parallelism/deepset_N16_e890_ebops146212/P_10_BW_11603_1/rtl,ok,5.0,,,top_module,top_module,11603.0,69.51,0,70.03,-0.063,2.282,4.0,10.872000000000002
