epoch,model_label,model_path,fold_factor,target_fmax_hz,pipeline_status,error_type,error_message,estimated_lut,work_cost,work_to_area_ratio,schedule_latency_cycles,da4ml_combtrace_latency_proxy_cycles,da4ml_combtrace_resource_count,sample_ii_cycles,throughput_samples_per_sec,max_resource_utilisation,correctness_passed,checked_output_count,mismatched_elements,fold_group_count
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,1,300000000.0,ok,,,60242.0,60242.0,1.0,37,37,6,1,300000000.0,0.02702702702702703,True,5,0,1
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,2,300000000.0,ok,,,33203.0,58276.0,1.7551426075956993,38,36,6,2,150000000.0,0.05263157894736842,True,5,0,1
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,4,300000000.0,ok,,,20489.0,57659.0,2.8141441749231295,39,35,6,4,75000000.0,0.10256410256410256,True,5,0,1
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,8,300000000.0,ok,,,14191.0,56604.0,3.988725248396871,42,34,6,8,37500000.0,0.19047619047619047,True,5,0,1
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,16,300000000.0,ok,,,11207.0,56837.0,5.071562416346926,50,34,6,16,18750000.0,0.32,True,5,0,1
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,1,300000000.0,ok,,,43031.0,43031.0,1.0,29,29,6,1,300000000.0,0.034482758620689655,True,5,0,1
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,2,300000000.0,ok,,,24288.0,41793.0,1.7207262845849802,30,28,6,2,150000000.0,0.06666666666666667,True,5,0,1
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,4,300000000.0,ok,,,15384.0,41280.0,2.6833073322932917,31,27,6,4,75000000.0,0.12903225806451613,True,5,0,1
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,8,300000000.0,ok,,,10989.0,40417.0,3.677950677950678,34,26,6,8,37500000.0,0.23529411764705882,True,5,0,1
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,16,300000000.0,ok,,,8913.0,40338.0,4.5257489060922245,42,26,6,16,18750000.0,0.38095238095238093,True,5,0,1
